system:index,priority_ranking,watershed_threshold,.geo
2_027c00000000000018bb,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.95599941130877,44.53019091911685],[-89.95518731321211,44.53015409343524],[-89.95518104486762,44.53015380349563],[-89.95516893556288,44.530148767711296],[-89.95516266721538,44.53014854964277],[-89.95515020174858,44.53014796978829],[-89.95514436078558,44.5301432239421],[-89.9551385198217,44.53013847809514],[-89.95512641050352,44.53013344230466],[-89.9551205695369,44.53012876832795],[-89.9551147285694,44.530124022478304],[-89.95510881636969,44.530119276600004],[-89.9551029754004,44.5301145307488],[-89.9551037589451,44.53010569077768],[-89.95509791797504,44.53010094492485],[-89.95509834536313,44.53009648901609],[-89.95503238507916,44.529852384528],[-89.95406333991863,44.52974591617405],[-89.95378638396278,44.53003696038225],[-89.95365103953216,44.531549002496135],[-89.95378994565186,44.53160885436958],[-89.95379585805503,44.53161360016545],[-89.95380789655984,44.53161863590929],[-89.95381373772649,44.531623309804665],[-89.95381965012598,44.53162805559786],[-89.95382549129084,44.531632801361546],[-89.95383133245481,44.53163754712446],[-89.95383054888408,44.53164645866814],[-89.95383639004729,44.5316511325596],[-89.95383560647667,44.53166004410073],[-89.9538414476391,44.53166478986038],[-89.95384066406858,44.53167370139896],[-89.95384023666647,44.53167815715325],[-89.95361406904934,44.53308331457261],[-89.9538429435464,44.53333034349385],[-89.95591065903446,44.53335710166852],[-89.95599941130877,44.53019091911685]]]}"
2_027c0000000000001b09,2,0.2,"{""type"":""Polygon"",""coordinates"":[[[-89.95565266369591,44.52621465495086],[-89.95564019838848,44.526214146979726],[-89.95354112525608,44.52611893919327],[-89.9520165397154,44.52626407996659],[-89.95200364580285,44.526267955982824],[-89.94876742157207,44.52626403926072],[-89.9487611521778,44.5262637489457],[-89.94874868462928,44.52626316834649],[-89.94816783486128,44.52616536848913],[-89.94665564636932,44.52631101842648],[-89.94664317813627,44.52631043759849],[-89.9466369083947,44.52631021904539],[-89.94662444015555,44.52630963821536],[-89.94591160637147,44.526214712480915],[-89.94582411321603,44.52642060156488],[-89.94596162272734,44.527056421509215],[-89.94596083899577,44.52706533386798],[-89.94596041150582,44.527069790029934],[-89.94588588568443,44.5279013623956],[-89.94604961430622,44.528033834171296],[-89.94605552790306,44.52803858072791],[-89.94606137025085,44.52804332725019],[-89.94606721259777,44.52804800189638],[-89.94606642886835,44.528056914067655],[-89.94607227121449,44.52806166058755],[-89.94607141623706,44.52807057272274],[-89.94607105999646,44.52807495694793],[-89.94607647485323,44.52808415953187],[-89.94598413719103,44.53016514663518],[-89.95051981957447,44.53029958281543],[-89.95118804359248,44.530262927200994],[-89.95148667469724,44.53008006767774],[-89.95149337107416,44.530075901923006],[-89.95149999621188,44.530071736137366],[-89.95150662134844,44.53006757035097],[-89.95151951542817,44.53006369470484],[-89.95152578437146,44.53006391297327],[-89.95153867844473,44.530060037324695],[-89.95154494738487,44.530060327464334],[-89.95155741402415,44.530060907712496],[-89.95299432732321,44.530126119176245],[-89.9530902810943,44.5299652364635],[-89.95309106468017,44.52995632460578],[-89.95309768954178,44.529952158716995],[-89.95310474181255,44.529943536911695],[-89.9531113666718,44.52993937102097],[-89.95311806276493,44.52993527703109],[-89.95312468762188,44.52993111113886],[-89.95313131247767,44.52992694524589],[-89.95313793733233,44.529922779352155],[-89.95315047468854,44.52992328758516],[-89.9531570995399,44.52991912168999],[-89.95316963688983,44.52991970179342],[-89.95317583432835,44.52991999181551],[-89.95318837167217,44.52992057191687],[-89.95338825627034,44.52992963744384],[-89.95340079354469,44.529930217521816],[-89.95340699094584,44.52993050753132],[-89.95341952821406,44.529931087607245],[-89.95342536943988,44.52993576169037],[-89.95343783546765,44.52993634173526],[-89.95344367669071,44.52994108768935],[-89.95344951791286,44.52994583364267],[-89.95346162776083,44.529950797758154],[-89.95346746898025,44.529955543709576],[-89.95347295402695,44.529964745604694],[-89.95383453797126,44.530409779880664],[-89.95384002296542,44.530418981669214],[-89.95384586412717,44.53042365568234],[-89.95384508055675,44.53043256745657],[-89.95384465315469,44.530437023328695],[-89.95385013814742,44.530446225111426],[-89.9538497107454,44.530450680982284],[-89.95361449645397,44.53307885895253],[-89.9538429435464,44.53333034349385],[-89.95591065903446,44.53335710166852],[-89.9560467790115,44.52846956998801],[-89.9560476337665,44.528460657853216],[-89.95604798991442,44.52845620175787],[-89.9560487734398,44.52844728959322],[-89.95631267812674,44.52781186987035],[-89.95631303427218,44.5278074137126],[-89.95632008595138,44.527798791314964],[-89.95632671025488,44.52779462504761],[-89.9566451028478,44.52746081012959],[-89.95680116411238,44.526838272974906],[-89.95680194762238,44.52682936049792],[-89.9568089992116,44.526820809767685],[-89.95680942658062,44.52681635354115],[-89.95681647816846,44.52680773093086],[-89.95713443932691,44.52647829201285],[-89.95716385629896,44.5261492455629],[-89.95565266369591,44.52621465495086]]]}"
2_027c0000000000001d47,3,0.005,"{""type"":""Polygon"",""coordinates"":[[[-89.95596493613192,44.53169854179098],[-89.95525270338098,44.53166628386991],[-89.95524643504719,44.53166599394313],[-89.9552339696076,44.531665414116354],[-89.95522186031958,44.53166037849961],[-89.9536828811333,44.531193257641625],[-89.95365103953216,44.531549002496135],[-89.95378994565186,44.53160885436958],[-89.95379585805503,44.53161360016545],[-89.95380789655984,44.53161863590929],[-89.95381373772649,44.531623309804665],[-89.95381965012598,44.53162805559786],[-89.95382549129084,44.531632801361546],[-89.95383133245481,44.53163754712446],[-89.95383054888408,44.53164645866814],[-89.95383639004729,44.5316511325596],[-89.95383560647667,44.53166004410073],[-89.9538414476391,44.53166478986038],[-89.95384066406858,44.53167370139896],[-89.95384023666647,44.53167815715325],[-89.95361406904934,44.53308331457261],[-89.9538429435464,44.53333034349385],[-89.95591065903446,44.53335710166852],[-89.95596493613192,44.53169854179098]]]}"
2_027c0000000000001fba,4,0.07,"{""type"":""Polygon"",""coordinates"":[[[-89.95587105522453,44.531555844014164],[-89.955871482604,44.53155146011056],[-89.956166230838,44.52825614741792],[-89.9555915480355,44.52823012303948],[-89.95481861884319,44.5285255139917],[-89.95456367914424,44.52920153274555],[-89.9545628955885,44.52921044475676],[-89.95455627098012,44.52921461079625],[-89.95455548742422,44.52922352280492],[-89.95454879158218,44.529227688814586],[-89.95454173957708,44.52923631084047],[-89.95453511496504,44.529240476876446],[-89.95452849035186,44.52924464291167],[-89.95451559728421,44.52924851896456],[-89.95424206377739,44.529361107589864],[-89.95411256207687,44.52975707616547],[-89.95410586615746,44.529761242101834],[-89.95410508259235,44.5297701540036],[-89.95409845790485,44.52977431996689],[-89.95409767433958,44.52978323186613],[-89.95409097841758,44.5297873977993],[-89.95378595656007,44.530041416291695],[-89.95362518156816,44.53183805218778],[-89.95376451518452,44.53189344799126],[-89.95377035635778,44.531898193730946],[-89.9537824661044,44.531903229475695],[-89.95378830727492,44.53190797521348],[-89.95379414844457,44.531912649081065],[-89.95379998961332,44.531917394817306],[-89.95380547461242,44.53192659631206],[-89.95380504720993,44.53193105204223],[-89.95381053220831,44.5319401816647],[-89.95381010480587,44.53194463739359],[-89.95381558980354,44.531953838882536],[-89.95381516240114,44.531958294610156],[-89.9538143788301,44.53196720609283],[-89.95361406904934,44.53308331457261],[-89.9538429435464,44.53333034349385],[-89.95590439080827,44.53335681178812],[-89.95587105522453,44.531555844014164]]]}"
