system:index,priority_ranking,watershed_threshold,.geo
2_02630000000000006b7d,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.94329021629972,44.550627475943905],[-89.9383469148965,44.55047427296612],[-89.93819398533827,44.55057002636557],[-89.93816448254816,44.55089911215967],[-89.93947056502002,44.55095850292824],[-89.9394830355845,44.55095908423586],[-89.93949557740525,44.55095966557974],[-89.93950177705378,44.5509598843733],[-89.93951389130662,44.55096491958398],[-89.93951973465074,44.550969664122796],[-89.93952557799396,44.55097440866084],[-89.9395376922393,44.55097944386744],[-89.93954353557979,44.55098411656338],[-89.9395493789194,44.550988861098745],[-89.93955522225812,44.550993605633344],[-89.93956070929488,44.55100280407018],[-89.9395602817336,44.5510072579352],[-89.93956576876964,44.55101638452895],[-89.93956534120842,44.5510208383927],[-89.93956455734616,44.5510297461565],[-89.93956412978494,44.55103420001897],[-89.93956334592265,44.551043107780224],[-89.93943714388723,44.551470487871356],[-89.93992570236804,44.55155077409277],[-89.94113167978273,44.55146713228649],[-89.94114457735097,44.55146325957958],[-89.94366899689797,44.55151093646049],[-89.94369970674872,44.551168491891865],[-89.94329021629972,44.550627475943905]]]}"
2_02630000000000006b81,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.95001536684163,44.55064246012353],[-89.95000909765137,44.55064217002615],[-89.9499965592678,44.55064158983036],[-89.94999036131533,44.55064129976304],[-89.9499782503708,44.55063633746669],[-89.94997240861971,44.55063159342758],[-89.94995987022415,44.55063101322766],[-89.94995402847026,44.55062626918708],[-89.94994861416099,44.55061707120476],[-89.9499427724054,44.55061239900298],[-89.94993685940797,44.55060765492853],[-89.94993144509627,44.55059845694177],[-89.94986597460881,44.55048829624473],[-89.94902831295747,44.550383326182796],[-89.94721578646349,44.55044400168174],[-89.94720331841255,44.55044342121033],[-89.94719704876253,44.55044313095772],[-89.94600316047759,44.550321953417104],[-89.94590312780896,44.55143823368633],[-89.94607540613156,44.5514058434067],[-89.94608210345353,44.55140167986306],[-89.94609457186898,44.55140226044487],[-89.9461070402804,44.5514028410253],[-89.9461133101086,44.55140313133176],[-89.94720680946722,44.55152418690483],[-89.948313244049,44.551431515475855],[-89.94831944227259,44.551431805629164],[-89.94833198120459,44.55143231415947],[-89.94943809835482,44.551482520418716],[-89.94946403038493,44.55119344903718],[-89.94946438659402,44.55118899512097],[-89.94946517025397,44.55118015915859],[-89.94946559770486,44.55117570527252],[-89.9494726506438,44.551167087591594],[-89.9494792761307,44.55116292379641],[-89.94959205171608,44.551025112416966],[-89.94959283537344,44.551016204582666],[-89.94959946083958,44.551012040767105],[-89.94960608630458,44.5510078769508],[-89.94961898102349,44.5510040032506],[-89.94962567772662,44.550999839463756],[-89.94963230318709,44.55099567564484],[-89.94964519789717,44.550991801940675],[-89.94965146714692,44.55099209205584],[-89.94966436185055,44.55098821834924],[-89.94967063109718,44.55098850846337],[-89.94968309834593,44.550989088659335],[-89.94978312115484,44.55099358662238],[-89.94980221379812,44.55078015728263],[-89.94980299745119,44.550771249400334],[-89.94980378110424,44.550762341516354],[-89.9498104777751,44.550758177697226],[-89.94981126142798,44.5507492698107],[-89.94981788685638,44.550745105958775],[-89.94982458352479,44.55074094213728],[-89.94983156515654,44.55073232432309],[-89.94983826182256,44.550728160499666],[-89.94984488724629,44.5507239966443],[-89.94985151266887,44.55071983278817],[-89.94986440730524,44.55071595903649],[-89.94987067651914,44.550716249141345],[-89.94988357114907,44.55071237538721],[-89.94988984035984,44.55071266549103],[-89.94990230753731,44.550713245666486],[-89.94990857674503,44.550713535769276],[-89.95003980242565,44.55071948398059],[-89.95007784496572,44.5506452891445],[-89.95001536684163,44.55064246012353]]]}"
2_02630000000000006b85,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.96447508972726,44.551873656871976],[-89.96406888339608,44.55185528316537],[-89.96405634961187,44.55185470452402],[-89.96405008271823,44.55185441520283],[-89.9640376201426,44.55185383658177],[-89.96403178053436,44.551849093382536],[-89.96401967402657,44.5518441326985],[-89.96401340712693,44.55184384337523],[-89.96400130061336,44.551838810849794],[-89.96399546099957,44.551834067647185],[-89.96373253502657,44.55161681520021],[-89.9633634955812,44.55153307686238],[-89.96335103278217,44.55153257000202],[-89.96334519306923,44.551527826735295],[-89.96333892605924,44.551527537373175],[-89.96332681933248,44.55152250474253],[-89.96332097961584,44.551517761473555],[-89.96331513989831,44.55151309004322],[-89.96330922896382,44.55150834674991],[-89.96330381654107,44.551499149571086],[-89.96329797682094,44.55149440629858],[-89.96329833290146,44.551489952367405],[-89.96329292047717,44.55148082702392],[-89.96329327655775,44.551476373091475],[-89.96329405993498,44.5514674652481],[-89.9632680660453,44.55063576392238],[-89.96305256533806,44.550518809602984],[-89.9626666408501,44.55055489235064],[-89.96264591661647,44.550786212642805],[-89.96264556052986,44.55079059479827],[-89.96264477713937,44.55079950276573],[-89.96263808271078,44.55080366733231],[-89.96263729932014,44.55081257529724],[-89.9626306761076,44.55081673988545],[-89.96262362558976,44.55082535844228],[-89.96261700237484,44.550829523028554],[-89.9626103079414,44.55083368759084],[-89.9624304836267,44.550950584885065],[-89.9624181629596,44.55108844211741],[-89.9625571085192,44.55114833032591],[-89.96256294835229,44.551153073671166],[-89.9625750553205,44.55115803458222],[-89.96258089515085,44.551162777925576],[-89.9625867349803,44.55116752126817],[-89.96259257480888,44.55117226460997],[-89.96259848585397,44.55117700797424],[-89.96259805854955,44.551181390069786],[-89.96260354228941,44.55119058736746],[-89.96260311498503,44.55119504130166],[-89.96260859872417,44.551204238596426],[-89.96260817141984,44.551208692529336],[-89.96260738802857,44.551217600417125],[-89.96227124047928,44.553854729160065],[-89.96449510083245,44.55382591516012],[-89.96450827539778,44.55367915834045],[-89.96447508972726,44.551873656871976]]]}"
2_02630000000000006b86,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.96950879939533,44.55066352870987],[-89.967615138622,44.55064935951348],[-89.96760260599837,44.550648781245506],[-89.96640871237572,44.55052781678432],[-89.96640273070832,44.55059448335517],[-89.96640194739469,44.55060339138581],[-89.96640159134301,44.55060784541095],[-89.966400736819,44.550616753418176],[-89.96639411425723,44.55062091824156],[-89.96638706443217,44.550629537066335],[-89.96638670838036,44.55063399108894],[-89.96638001460579,44.55063815588909],[-89.96637296477813,44.55064677470984],[-89.9663600756959,44.55065065032681],[-89.96635345312711,44.55065481514484],[-89.96634718660935,44.550654525942015],[-89.96633429751844,44.55065840155545],[-89.96632767494519,44.5506625663713],[-89.96631514190021,44.55066198796258],[-89.96630887537617,44.55066169875771],[-89.96629641353556,44.55066112036786],[-89.96477781888795,44.55059241498621],[-89.96462755841804,44.55129115913785],[-89.96467619729819,44.55137817199321],[-89.96968196848226,44.55139476370937],[-89.96981718508245,44.550793570008416],[-89.96950879939533,44.55066352870987]]]}"
2_02630000000000006b89,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.96223470562089,44.55047285216329],[-89.96222850964729,44.550472562757406],[-89.96221640256957,44.55046752989625],[-89.96221049146551,44.55046285828155],[-89.96220465157869,44.550458114848546],[-89.96219881169098,44.55045337141476],[-89.96218670460387,44.55044833854841],[-89.96218748800374,44.55043943051739],[-89.96218164811341,44.55043475892191],[-89.96217623553133,44.55042556147936],[-89.96217659162228,44.550421107450184],[-89.96217117903949,44.55041191000471],[-89.96213094073556,44.54987876093301],[-89.96191080441675,44.54981517969081],[-89.95971093855356,44.5497870556395],[-89.95972589533304,44.55165419858277],[-89.96176266926821,44.55161243925681],[-89.96181430297877,44.551034290593044],[-89.96181473029195,44.551029836646556],[-89.96181551369942,44.55102100056874],[-89.961822564366,44.55101238209768],[-89.96182299167909,44.55100792814908],[-89.96182961503128,44.55100376362463],[-89.96183666569526,44.550995145149535],[-89.96184328904508,44.55099098062313],[-89.96184998361258,44.550986816119696],[-89.96202981065237,44.550869919828074],[-89.9620461196768,44.550687593962216],[-89.96204690307955,44.55067868597764],[-89.96205395370352,44.55067006742939],[-89.96205438101403,44.5506656134474],[-89.96206143163664,44.550656994896286],[-89.96206178772866,44.550652540889466],[-89.96206883834991,44.550643994176234],[-89.9620754616596,44.55063982960521],[-89.96208215618651,44.55063566505699],[-89.9620887794939,44.550631500484435],[-89.9621016700136,44.550627553506075],[-89.9621082933176,44.550623388931676],[-89.96212125504901,44.550619513814745],[-89.96212745103996,44.55061980322554],[-89.96213998545535,44.550620382093165],[-89.96214660875273,44.550616217515916],[-89.96215914316186,44.55061679638149],[-89.96217117903949,44.550621829209184],[-89.96217744624055,44.55062211864077],[-89.96245434155465,44.550683705348035],[-89.96246701829838,44.550541392903305],[-89.96223470562089,44.55047285216329]]]}"
2_02630000000000006b8a,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.95879799416835,44.54982157444304],[-89.95606059754834,44.54984045785556],[-89.95605432934667,44.54984016808432],[-89.95604186416989,44.549839588568126],[-89.95603602334279,44.54983484475765],[-89.9560234869304,44.54983426521207],[-89.95601137789184,44.549829303468435],[-89.9560055370601,44.549824559655356],[-89.95599969622747,44.5498198158415],[-89.95598758718135,44.54981478225183],[-89.955981746346,44.549810038436064],[-89.95597590550973,44.549805366461555],[-89.9559700646726,44.54980062264425],[-89.95597084819958,44.54979171453319],[-89.95596500736166,44.549786970714244],[-89.95596579088875,44.54977806260062],[-89.95583202121355,44.549169217551736],[-89.95540599231553,44.54909189313413],[-89.95388774950493,44.54908999914119],[-89.95359049055322,44.55023748700417],[-89.95358970697757,44.55024639501408],[-89.95358935080682,44.55025084903282],[-89.9535822986252,44.550259467136165],[-89.95357560261316,44.55026363122042],[-89.9535748190372,44.55027253922526],[-89.95356819425807,44.55027670333678],[-89.95356156947777,44.55028086744755],[-89.95354860485065,44.55028474162295],[-89.95354198006697,44.550288905731875],[-89.95353535528214,44.55029306984004],[-89.95352281805182,44.5502924900262],[-89.95351619326367,44.550296654132936],[-89.95350992464589,44.55029636422517],[-89.95206056420186,44.550436072904716],[-89.9520485963853,44.55056947653848],[-89.95230590361793,44.55084904396566],[-89.95231174501346,44.550853787863794],[-89.95231138883084,44.55085824182081],[-89.95231680280644,44.55086743964427],[-89.95231644662385,44.550871821759635],[-89.95232186059874,44.55088101958019],[-89.9523215044162,44.55088547353467],[-89.95235121002824,44.551534271710125],[-89.95387549732433,44.55146944960605],[-89.95388219328399,44.551465285611386],[-89.95389465916318,44.55146586534282],[-89.95390676887054,44.551470898976774],[-89.95448824402138,44.55156423522095],[-89.955894489858,44.551556523513796],[-89.95590695508274,44.551557103025],[-89.95591286715934,44.55156177485601],[-89.9559253323781,44.55156235436514],[-89.95593160060085,44.55156264413289],[-89.95594370966464,44.55156767754107],[-89.9559495505058,44.55157242118106],[-89.95595581872459,44.55157271094743],[-89.955967856551,44.551577672485294],[-89.9559737686182,44.55158241615041],[-89.95597918207653,44.55159161365895],[-89.95598502291229,44.55159635729473],[-89.95599086374715,44.551601029090435],[-89.95599008022057,44.55160993685795],[-89.95599592105468,44.55161468049131],[-89.95599513752819,44.55162358825628],[-89.9559947813798,44.55162804215179],[-89.9560242704563,44.552419715067145],[-89.9560234869304,44.55242862267937],[-89.95602313078227,44.55243307649853],[-89.95602227602673,44.55244198408088],[-89.95602191987858,44.552446437898745],[-89.95583066784386,44.55283069592979],[-89.95617876720367,44.55279735332677],[-89.9561853915316,44.55279318928805],[-89.95619792789103,44.552793768779644],[-89.95849137159641,44.55296911520269],[-89.95871444777347,44.5529301163421],[-89.9588827511944,44.55104886563676],[-89.95879799416835,44.54982157444304]]]}"
2_02630000000000006b8b,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.93775977894214,44.55051461758512],[-89.93775350774861,44.5505143268155],[-89.93774139294004,44.550509291370226],[-89.93773554932513,44.550504546694135],[-89.93772970570932,44.55049980201728],[-89.93772386209262,44.55049505733964],[-89.93771801847504,44.550490384502176],[-89.93771217485657,44.55048563982299],[-89.93770668755549,44.550476441196295],[-89.93770084393527,44.550471696515125],[-89.93770127151727,44.55046724260628],[-89.93770205541759,44.5504584065896],[-89.93762772734392,44.550097794770814],[-89.93762851124573,44.55008888684346],[-89.93762893882854,44.55008443289854],[-89.93770818409222,44.54808314246033],[-89.93765302598534,44.547928789918494],[-89.9361039344765,44.54792089592533],[-89.9360971641459,44.547996472914676],[-89.93609630894616,44.54800538118907],[-89.93609595261293,44.54800983536538],[-89.93608889721429,44.548018452800825],[-89.93608846961433,44.54802283509139],[-89.93608141421431,44.548031452523986],[-89.93607478641312,44.54803561582096],[-89.93606815861077,44.54803977911717],[-89.93606110320701,44.5480483965454],[-89.93605447540232,44.54805255983969],[-89.93604777632973,44.54805672309346],[-89.9360415761232,44.54805643225472],[-89.93602867683977,44.54806030466797],[-89.93602204902946,44.54806446795933],[-89.93600950607349,44.54806395804392],[-89.93600323459397,44.548063667163355],[-89.93599076289868,44.54806308544101],[-89.93590331838429,44.54805908511125],[-89.93596895523893,44.54942400715233],[-89.93596859890452,44.54942846119351],[-89.93583996196537,44.55086040556225],[-89.93796451859512,44.550890024052386],[-89.9379920261715,44.550583207824964],[-89.93775977894214,44.55051461758512]]]}"
2_02630000000000006b8d,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.94580373611697,44.548066852834296],[-89.94490292927375,44.54789651034471],[-89.94319067533003,44.54802858732468],[-89.94317777844964,44.5480324605464],[-89.93852870501838,44.54795965332776],[-89.93841632447625,44.55033012521325],[-89.94335299039331,44.55048741731577],[-89.94336545969593,44.55048799820611],[-89.9433779289945,44.55048850725413],[-89.9433841992688,44.550488797715694],[-89.94339631229583,44.550493832566104],[-89.94340258256715,44.55049412302665],[-89.94341462433532,44.55049915783937],[-89.94342046708537,44.55050390222631],[-89.94342638108758,44.550508574806706],[-89.94370676074809,44.55074011194387],[-89.94371887367325,44.55074514673321],[-89.94371844615831,44.55074960063845],[-89.94372436011457,44.550754345019556],[-89.94372977530264,44.550763471428304],[-89.9437356180047,44.55076821577245],[-89.94373483422764,44.55077712361321],[-89.94373405045057,44.55078603145227],[-89.9437336229358,44.55079048535368],[-89.94372086874291,44.550932794908476],[-89.9457391135669,44.550957475520214],[-89.94580373611697,44.548066852834296]]]}"
2_02630000000000006b8e,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.94731503200448,44.54800598662379],[-89.94600373046356,44.548075927819234],[-89.94593155592294,44.54888090631305],[-89.94773160398985,44.549029594941885],[-89.94824335366552,44.54899031341612],[-89.94830989558298,44.548247621921284],[-89.94731503200448,44.54800598662379]]]}"
2_02630000000000006b8f,1,0.08,"{""type"":""Polygon"",""coordinates"":[[[-89.95246490323721,44.54809229664926],[-89.95109628814849,44.54810163537555],[-89.95073068896583,44.54833066258215],[-89.95072028800276,44.54844625540542],[-89.95071993180535,44.548450709586085],[-89.95071907693155,44.54845961788487],[-89.95071245165887,44.54846378199206],[-89.9507116680244,44.548472690318945],[-89.95070504275046,44.54847685442456],[-89.95069799003821,44.54848547267604],[-89.95069129352237,44.54848963674907],[-89.95068466824489,44.54849380085198],[-89.95067804296627,44.54849796495414],[-89.95067134644694,44.5485021290249],[-89.95040398339502,44.54861502412888],[-89.95038332376905,44.54884627993295],[-89.95053050555127,44.54909405923844],[-89.95097489706838,44.54917672601018],[-89.95098700769809,44.549181760198366],[-89.9509994745188,44.549182268430116],[-89.9510053161134,44.54918701256337],[-89.9510111577071,44.549191756695855],[-89.95102326832534,44.54919679087859],[-89.95102910991632,44.54920153500916],[-89.9510349515064,44.54920620729603],[-89.95104086433447,44.549210951455485],[-89.95104670592276,44.54921569558374],[-89.95104585105625,44.549224603739695],[-89.95105176388263,44.549229347896734],[-89.95105090901622,44.54923818420724],[-89.95105055282188,44.54924263831374],[-89.95104976919431,44.549251546495036],[-89.95101749797242,44.54961175144392],[-89.95101707053884,44.549616205484384],[-89.95101628691059,44.549625113594495],[-89.95101585947698,44.54962956763367],[-89.95100880682192,44.549638185692466],[-89.95100845062719,44.549642639760826],[-89.95100139797077,44.54965125781675],[-89.9509947727469,44.54965542183442],[-89.95098807628287,44.549659585820876],[-89.95098145105669,44.54966374983704],[-89.950968556796,44.54966762380164],[-89.95096193156644,44.54967178781596],[-89.95094903729918,44.549675661777705],[-89.9509427682616,44.549675371725534],[-89.95093030142245,44.54967479165068],[-89.95092360494718,44.54967895563164],[-89.9509111381018,44.549678375554734],[-89.95041117864145,44.54965574554251],[-89.95040483827586,44.54972686656701],[-89.95040441083543,44.549731320594226],[-89.9503973580679,44.549739938596566],[-89.95039657442699,44.549748846678874],[-89.95039614698648,44.54975330070397],[-89.950389521658,44.54975746467752],[-89.95038246888772,44.54976608267415],[-89.95037584355688,44.54977024664577],[-89.9503692182249,44.54977441061663],[-89.95036252165164,44.54977857455589],[-89.95035589631735,44.549782738525245],[-89.95034300184628,44.54978661240951],[-89.95033637650863,44.549790776377016],[-89.95032383823208,44.54979019620666],[-89.95031721289111,44.54979436017274],[-89.95030467460829,44.5497937800003],[-89.95029847670561,44.54979348994447],[-89.94985478975919,44.54977339642259],[-89.94954474727845,44.55015222570126],[-89.94953805056119,44.55015638955867],[-89.94953106887597,44.550165007460805],[-89.94952437215632,44.55016917131628],[-89.9495177466772,44.55017333520237],[-89.94951112119695,44.55017749908773],[-89.94949822644176,44.550181372844136],[-89.94949195716697,44.55018108271561],[-89.94947906240533,44.55018502831099],[-89.94947279312738,44.55018473818145],[-89.94945989835932,44.55018861193293],[-89.94945362907825,44.55018832180235],[-89.94914743044379,44.550174392789415],[-89.94913467805115,44.55031670482499],[-89.94994084890031,44.55035326775816],[-89.9499533160612,44.55035384793247],[-89.94996585445891,44.55035442813652],[-89.94997169621098,44.55035917220398],[-89.94998416336185,44.55035975237486],[-89.94999007635197,44.55036449647194],[-89.94999591810036,44.550369168696],[-89.9500080290393,44.550374202859864],[-89.95001387078496,44.55037894692317],[-89.95001971252972,44.550383690985704],[-89.9500255542736,44.55038843504745],[-89.95003096857201,44.55039756122985],[-89.95009059704465,44.55050297799967],[-89.9506842408076,44.550529887970576],[-89.95086932071082,44.55035525005467],[-89.95087594595638,44.550351086106446],[-89.95088299863589,44.55034246818691],[-89.95088969511826,44.550338304267285],[-89.95090258940547,44.55033443036705],[-89.9509087872105,44.55033472038686],[-89.9509216814913,44.550330846484165],[-89.9509283779669,44.55032668256125],[-89.95094084480668,44.55032719078711],[-89.95094711384458,44.550327480835385],[-89.95235334712174,44.55031981235577],[-89.95340236070369,44.55016643135378],[-89.95375197802915,44.548293484915],[-89.95246490323721,44.54809229664926]]]}"
